period,stateid,stateDescription,sectorid,sectorName,customers,price,sales,customers-units,price-units,sales-units
2024,NC,North Carolina,RES,residential,5111013,14.12,61618.09347,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,VA,Virginia,RES,residential,3680343,14.54,45243.21556,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,VT,Vermont,RES,residential,321228,22.14,2218.65934,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,UT,Utah,RES,residential,1248928,11.33,11708.07556,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,TX,Texas,RES,residential,12669660,14.94,168486.13714,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,TN,Tennessee,RES,residential,3086249,12.54,43805.19455,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NE,Nebraska,RES,residential,918007,11.74,10384.57215,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MT,Montana,RES,residential,562914,12.67,5742.79414,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MO,Missouri,RES,residential,2893876,12.91,35758.05386,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MS,Mississippi,RES,residential,1352980,13.29,18854.13367,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,SD,South Dakota,RES,residential,440490,13.03,5132.32347,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,SC,South Carolina,RES,residential,2597157,14.13,32476.20288,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,ID,Idaho,RES,residential,876507,11.54,9793.97358,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,HI,Hawaii,RES,residential,447400,42.72,2665.7282,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,GA,Georgia,RES,residential,4831967,14.14,61192.34988,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,FL,Florida,RES,residential,10502688,14.15,138337.75251,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,DC,District of Columbia,RES,residential,321677,17.72,2446.06187,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,DE,Delaware,RES,residential,473260,16.45,5178.33866,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,CT,Connecticut,RES,residential,1560866,28.76,12975.47104,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,CO,Colorado,RES,residential,2501738,15.06,20820.68388,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,CA,California,RES,residential,14362038,31.86,86123.50838,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MN,Minnesota,RES,residential,2606781,15.42,22471.40724,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MI,Michigan,RES,residential,4537622,19.29,33490.39173,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,AR,Arkansas,RES,residential,1485432,12.24,18689.16334,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,AZ,Arizona,RES,residential,3134535,14.95,40480.48465,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,AK,Alaska,RES,residential,301101,24.71,2077.92332,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,AL,Alabama,RES,residential,2409846,15.12,32817.18896,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,WY,Wyoming,RES,residential,288472,12.5,2986.40625,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,WI,Wisconsin,RES,residential,2865093,17.22,22135.24418,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,WV,West Virginia,RES,residential,867455,15.1,10679.04153,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,WA,Washington,RES,residential,3387200,11.9,38806.39457,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NY,New York,RES,residential,7438177,24.37,51070.97536,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NM,New Mexico,RES,residential,916902,14.37,7411.51947,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NJ,New Jersey,RES,residential,3750476,19.38,29795.65766,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NH,New Hampshire,RES,residential,654283,23.33,4848.53299,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,NV,Nevada,RES,residential,1320716,15,14648.34765,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MA,Massachusetts,RES,residential,3014288,29.35,20120.01316,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,MD,Maryland,RES,residential,2453603,17.88,27400.21263,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,ME,Maine,RES,residential,740635,23.89,4877.68884,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,LA,Louisiana,RES,residential,2160432,11.64,31452.14763,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,KY,Kentucky,RES,residential,2017739,12.98,26093.01925,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,KS,Kansas,RES,residential,1337775,14.22,14025.40017,number of customers,cents per kilowatt-hour,million kilowatt hours
